Player,Team,GP,Snaps/G,R Att,Ru Yds,Ru YPG,Ru YPA,Ru TD,TAR,REC,Rec Yds,Rec YPC,Rec TD,FP,PPG
Jonathan Taylor,IND,17,38.8,332,1811,106.5,5.5,18,51,40,360,9.0,2,333.1,19.6
Austin Ekeler,WAS,16,37.5,206,911,56.9,4.4,12,94,70,647,9.2,8,273.8,17.1
Joe Mixon,HOU,16,43.6,292,1205,75.3,4.1,13,48,42,314,7.5,3,245.9,15.4
Najee Harris,PIT,17,52.2,307,1200,70.6,3.9,7,94,74,467,6.3,3,226.7,13.3
James Conner,ARI,15,39.9,202,752,50.1,3.7,15,39,37,375,10.1,3,220.7,14.7
Ezekiel Elliott,DAL,17,42.7,237,1002,58.9,4.2,10,65,47,287,6.1,2,205.1,12.1
Nick Chubb,CLE,14,30.3,228,1259,89.9,5.5,8,25,20,174,8.7,1,195.3,14.0
Damien Harris,BUF,15,25.1,202,929,61.9,4.6,15,21,18,132,7.3,,192.1,12.8
Alvin Kamara,NO,13,43.9,240,898,69.1,3.7,4,67,47,439,9.3,5,187.7,14.4
Antonio Gibson,NE,16,33.7,258,1037,64.8,4.0,7,52,42,294,7.0,3,187.1,11.7
Leonard Fournette,BUF,14,44.5,180,812,58.0,4.5,8,84,69,454,6.6,2,186.6,13.3
Cordarrelle Patterson,PIT,16,28.4,153,618,38.6,4.0,6,69,52,548,10.5,5,182.6,11.4
Aaron Jones,MIN,15,38.5,171,799,53.3,4.7,4,65,52,391,7.5,6,177.0,11.8
Derrick Henry,BAL,8,51.4,219,937,117.1,4.3,10,20,18,154,8.6,,175.3,21.9
Dalvin Cook,BAL,13,40.7,249,1159,89.2,4.7,6,49,34,224,6.6,,172.3,13.3
Josh Jacobs,GB,15,37.9,217,872,58.1,4.0,9,64,54,348,6.4,,172.0,11.5
Melvin Gordon,BAL,16,30.5,203,918,57.4,4.5,8,38,28,213,7.6,2,167.1,10.4
Javonte Williams,DEN,17,30.6,203,903,53.1,4.4,4,53,43,316,7.3,3,161.9,9.5
Devin Singletary,NYG,17,37.4,188,870,51.2,4.6,7,50,40,228,5.7,1,157.8,9.3
David Montgomery,DET,13,41.3,225,849,65.3,3.8,7,51,42,301,7.2,,154.0,11.8
AJ Dillon,GB,17,23.2,187,803,47.2,4.3,5,37,34,313,9.2,2,151.6,8.9
Darrel Williams,NO,17,29.5,144,558,32.8,3.9,6,57,47,452,9.6,2,149.0,8.8
D'Andre Swift,CHI,13,37.9,151,617,47.5,4.1,5,78,62,452,7.3,2,146.9,11.3
James Robinson,NO,14,0.0,164,767,54.8,4.7,8,46,31,222,7.2,,146.9,10.5
Elijah Mitchell,SF,11,36.7,207,963,87.5,4.7,5,20,19,137,7.2,1,146.0,13.3
Darrell Henderson,LA,12,42.2,149,688,57.3,4.6,5,40,29,176,6.1,3,134.4,11.2
Sony Michel,LA,17,28.6,208,845,49.7,4.1,4,33,21,128,6.1,1,125.3,7.4
Myles Gaskin,MIN,17,31.0,173,612,36.0,3.5,3,63,49,234,4.8,4,124.6,7.3
Michael Carter,ARI,14,28.9,147,639,45.6,4.3,4,55,36,325,9.0,,118.4,8.5
Tony Pollard,TEN,15,23.2,130,719,47.9,5.5,2,46,39,337,8.6,,117.6,7.8
Rashaad Penny,CAR,10,20.2,119,749,74.9,6.3,6,8,6,48,8.0,,115.7,11.6
Chuba Hubbard,CAR,17,25.4,172,612,36.0,3.6,5,37,25,174,7.0,1,112.6,6.6
Devonta Freeman,BAL,16,28.4,133,576,36.0,4.3,5,42,34,190,5.6,1,112.6,7.0
Saquon Barkley,PHI,13,36.8,162,593,45.6,3.7,2,57,41,263,6.4,2,107.6,8.3
Devontae Booker,NYG,16,30.1,145,593,37.1,4.1,2,45,40,268,6.7,1,104.1,6.5
Chase Edmonds,TB,12,0.0,116,592,49.3,5.1,2,53,43,311,7.2,,102.3,8.5
Rhamondre Stevenson,NE,12,21.3,133,606,50.5,4.6,5,18,14,123,8.8,,100.9,8.4
Clyde Edwards-Helaire,KC,10,31.0,119,517,51.7,4.3,4,23,19,129,6.8,2,98.6,9.9
Mike Davis,BAL,17,33.9,138,503,29.6,3.6,3,58,44,259,5.9,1,94.2,5.5
Alexander Mattison,LV,16,21.7,134,491,30.7,3.7,3,39,32,228,7.1,1,93.9,5.9
Jamaal Williams,NO,13,21.5,153,601,46.2,3.9,3,28,26,157,6.0,,93.8,7.2
Latavius Murray,BUF,14,22.1,119,501,35.8,4.2,6,13,10,75,7.5,,93.6,6.7
Miles Sanders,CAR,12,32.5,137,754,62.8,5.5,,34,26,158,6.1,,91.2,7.6
Christian McCaffrey,SF,7,0.0,99,442,63.1,4.5,1,41,37,343,9.3,1,90.5,12.9
Kenneth Gainwell,PHI,16,16.2,68,291,18.2,4.3,5,50,33,253,7.7,1,90.4,5.7
Kareem Hunt,CLE,8,29.2,78,386,48.2,4.9,5,27,22,174,7.9,,88.0,11.0
Boston Scott,LA,16,11.7,87,373,23.3,4.3,7,16,13,83,6.4,,85.6,5.3
D'Ernest Johnson,JAC,17,15.0,100,534,31.4,5.3,3,25,19,137,7.2,,85.1,5.0
D'Onta Foreman,CLE,9,20.0,133,566,62.9,4.3,3,11,9,123,13.7,,84.9,9.4
J.D. McKissic,WAS,11,28.4,48,212,19.3,4.4,2,53,43,397,9.2,2,84.9,7.7
Zack Moss,CIN,13,0.0,96,345,26.5,3.6,4,32,23,197,8.6,1,84.2,6.5
Brandon Bolden,LV,17,18.5,44,226,13.3,5.1,1,49,41,405,9.9,2,83.1,4.9
Ty Johnson,BUF,16,23.3,61,238,14.9,3.9,2,55,34,372,10.9,2,83.0,5.2
Rex Burkhead,HOU,16,18.0,122,427,26.7,3.5,3,32,25,186,7.4,,79.3,5.0
Nyheim Hines,CLE,17,0.0,56,276,16.2,4.9,2,57,40,310,7.8,1,76.6,4.5
Kenyan Drake,GB,12,23.3,63,254,21.2,4.0,2,40,30,291,9.7,1,72.5,6.0
Ronald Jones,DAL,16,13.6,101,428,26.8,4.2,4,13,10,64,6.4,,69.2,4.3
Khalil Herbert,CHI,17,16.8,103,433,25.5,4.2,2,16,14,96,6.9,,64.9,3.8
Justin Jackson,DET,14,14.9,68,364,26.0,5.4,2,25,22,178,8.1,,64.2,4.6
Jordan Howard,NO,7,20.0,86,406,58.0,4.7,3,5,2,19,9.5,,60.5,8.6
Alex Collins,SEA,11,24.5,108,411,37.4,3.8,2,10,9,87,9.7,,59.8,5.4
Samaje Perine,DEN,16,17.2,55,246,15.4,4.5,1,31,27,196,7.3,1,56.2,3.5
Duke Johnson,BUF,5,0.0,71,330,66.0,4.6,3,5,4,41,10.3,,55.1,11.0
Dontrell Hilliard,TEN,8,14.1,56,350,43.8,6.2,2,26,19,87,4.6,,53.7,6.7
David Johnson,NO,13,20.8,67,228,17.5,3.4,,42,32,225,7.0,1,49.3,3.8
Derrick Gore,WAS,11,8.4,51,256,23.3,5.0,2,9,8,105,13.1,,48.1,4.4
Ameer Abdullah,LV,11,19.7,44,136,12.4,3.1,,49,35,272,7.8,1,46.8,4.3
Jaret Patterson,LAC,17,7.1,68,266,15.6,3.9,2,11,10,73,7.3,,45.9,2.7
Jeremy McNichols,WAS,14,19.1,41,156,11.1,3.8,,38,28,240,8.6,1,45.6,3.3
Damien Williams,ARI,12,11.5,40,164,13.7,4.1,2,23,16,103,6.4,1,44.7,3.7
Jeff Wilson,MIA,9,0.0,79,294,32.7,3.7,2,8,7,31,4.4,,44.5,4.9
Mark Ingram,NO,7,27.0,68,260,37.1,3.8,1,26,20,138,6.9,,43.8,6.3
Chris Carson,SEA,4,31.0,54,232,58.0,4.3,3,6,6,29,4.8,,42.1,10.5
Tevin Coleman,SF,11,13.6,84,356,32.4,4.2,,16,11,49,4.5,,40.5,3.7
Peyton Barber,LV,10,11.6,55,212,21.2,3.9,2,13,10,67,6.7,,39.9,4.0
Travis Homer,CHI,14,11.2,21,177,12.6,8.4,1,20,16,161,10.1,,39.8,2.8
DeeJay Dallas,ARI,17,8.1,33,138,8.1,4.2,2,23,21,133,6.3,,39.1,2.3
Dare Ogunbowale,HOU,17,8.5,43,137,8.1,3.2,1,21,13,114,8.8,1,37.1,2.2
Giovani Bernard,TB,12,11.5,8,58,4.8,7.2,,29,23,123,5.3,3,36.1,3.0
Matt Breida,NYG,9,6.7,26,125,13.9,4.8,1,9,7,72,10.3,2,35.7,4.0
Chris Evans,CIN,14,3.9,17,77,5.5,4.5,,17,15,151,10.1,2,34.8,2.5
Carlos Hyde,JAC,12,23.2,72,253,21.1,3.5,1,21,12,65,5.4,,33.8,2.8
Ty'Son Williams,ARI,13,10.6,35,185,14.2,5.3,1,12,9,84,9.3,,32.9,2.5
Ke'Shawn Vaughn,NE,12,7.0,36,180,15.0,5.0,2,8,4,26,6.5,,32.6,2.7
Demetric Felton,CIN,16,5.8,7,24,1.5,3.4,,21,18,181,10.1,2,32.5,2.0
Craig Reynolds,DET,5,22.4,55,230,46.0,4.2,,8,7,52,7.4,,28.2,5.6
Elijhaa Penny,NYG,17,5.8,24,99,5.8,4.1,1,13,9,30,3.3,1,26.9,1.6
Salvon Ahmed,MIA,12,13.8,54,149,12.4,2.8,,19,12,117,9.8,,26.6,2.2
JaMycal Hasty,NE,11,12.2,16,68,6.2,4.2,1,29,23,157,6.8,,26.5,2.4
Trey Sermon,IND,9,9.2,41,167,18.6,4.1,1,4,3,26,8.7,,25.3,2.8
Jerick McKinnon,KC,13,9.9,12,62,4.8,5.2,,20,13,107,8.2,1,22.9,1.8
Corey Clement,ARI,17,3.2,33,140,8.2,4.2,,7,6,29,4.8,1,22.9,1.3
Eno Benjamin,NO,9,10.2,34,118,13.1,3.5,1,7,6,42,7.0,,22.0,2.4
Jermar Jefferson,DET,7,4.0,15,74,10.6,4.9,2,5,4,23,5.8,,21.7,3.1
Godwin Igwebuike,PIT,17,5.1,18,118,6.9,6.6,1,10,7,60,8.6,,19.8,1.2
Malcolm Brown,LA,7,17.7,33,125,17.9,3.8,1,5,3,10,3.3,,19.5,2.8
James White,NE,3,21.0,10,38,12.7,3.8,1,14,12,94,7.8,,19.2,6.4
Tony Jones,ARI,11,9.8,54,142,12.9,2.6,,8,5,29,5.8,,17.1,1.6
Austin Walter,LV,4,13.8,26,101,25.2,3.9,1,3,2,9,4.5,,17.0,4.2
Jonathan Williams,WAS,5,0.0,17,79,15.8,4.6,1,6,4,28,7.0,,16.7,3.3
Qadree Ollison,PIT,8,6.6,21,105,13.1,5.0,1,6,4,12,3.0,,15.7,2.0
Royce Freeman,DAL,7,17.7,35,92,13.1,2.6,,10,7,62,8.9,,15.4,2.2
Patrick Taylor,SF,9,1.7,23,89,9.9,3.9,1,2,2,3,1.5,,15.2,1.7
Larry Rountree,HOU,12,7.3,36,87,7.2,2.4,1,2,1,-1,-1.0,,14.6,1.2
J.J. Taylor,HOU,5,10.4,19,37,7.4,1.9,2,4,4,8,2.0,,14.5,2.9
Le'Veon Bell,TB,3,9.7,8,18,6.0,2.2,,4,4,31,7.8,1,12.9,4.3
Phillip Lindsay,IND,4,13.8,38,119,29.8,3.1,,1,1,8,8.0,,12.7,3.2
Wayne Gallman,SEA,2,0.0,28,104,52.0,3.7,,3,1,21,21.0,,12.5,6.2
Joshua Kelley,LAC,10,13.4,33,102,10.2,3.1,,6,5,38,7.6,,12.0,1.2
Jalen Richard,LV,10,6.8,9,40,4.0,4.4,,14,12,72,6.0,,11.2,1.1
Benny Snell,DET,17,4.1,36,98,5.8,2.7,,4,2,13,6.5,,11.1,0.7
Marlon Mack,ARI,6,9.7,28,101,16.8,3.6,,5,2,8,4.0,,10.9,1.8
Ryquell Armstead,JAC,2,0.0,15,80,40.0,5.3,,4,3,16,5.3,,9.6,4.8
Deon Jackson,NYG,9,1.0,13,31,3.4,2.4,1,,,,,,9.1,1.0
JaQuan Hardy,DEN,3,0.7,4,29,9.7,7.2,1,,,,,,8.9,3.0
Adrian Peterson,SEA,1,18.0,11,16,16.0,1.5,1,4,4,8,2.0,,8.4,8.4
Alex Armah,WAS,2,0.0,5,21,10.5,4.2,,1,1,1,1.0,1,8.2,4.1
Kene Nwangwu,MIN,11,2.5,13,61,5.5,4.7,,5,4,9,2.3,,7.0,0.6
Jonathan Ward,TEN,13,3.2,9,33,2.5,3.7,,4,3,34,11.3,,6.7,0.5
Ito Smith,DAL,1,0.0,1,4,4.0,4.0,1,,,,,,6.4,6.4
Mike Boone,CAR,8,2.9,4,35,4.4,8.8,,2,2,22,11.0,,5.7,0.7
Trayveon Williams,CIN,5,2.4,15,51,10.2,3.4,,2,1,4,4.0,,5.5,1.1
Jason Huntley,IND,2,0.0,13,51,25.5,3.9,,1,,,,,5.1,2.5
Rodney Smith,DET,2,0.0,,,0.0,,,5,5,48,9.6,,4.8,2.4
Wendell Smallwood,WAS,3,0.0,5,25,8.3,5.0,,5,4,22,5.5,,4.7,1.6
Kalen Ballage,PIT,17,2.6,12,36,2.1,3.0,,7,2,8,4.0,,4.4,0.3
La'Mical Perine,KC,4,5.8,8,31,7.8,3.9,,,,,,,3.1,0.8
Kylin Hill,GB,8,3.2,10,24,3.0,2.4,,2,1,5,5.0,,2.9,0.4
Dwayne Washington,DEN,14,0.6,4,16,1.1,4.0,,2,2,12,6.0,,2.8,0.2
Jaylen Samuels,ARI,3,0.0,5,9,3.0,1.8,,4,3,14,4.7,,2.3,0.8
Scottie Phillips,HOU,3,6.3,6,13,4.3,2.2,,3,2,9,4.5,,2.2,0.7
Patrick Laird,TB,6,4.3,1,4,0.7,4.0,,3,3,17,5.7,,2.1,0.4
Raheem Mostert,MIA,1,4.0,2,20,20.0,10.0,,,,,,,2.0,2.0
Darrynton Evans,BUF,1,6.0,2,7,7.0,3.5,,2,2,11,5.5,,1.8,1.8
Reggie Bonnafon,WAS,4,3.5,1,4,1.0,4.0,,2,2,12,6.0,,1.6,0.4
Trey Ragas,LA,1,9.0,1,9,9.0,9.0,,2,2,6,3.0,,1.5,1.5
Anthony McFarland,PIT,2,9.5,3,3,1.5,1.0,,1,1,11,11.0,,1.4,0.7
John Kelly,CLE,4,0.8,2,13,3.2,6.5,,,,,,,1.3,0.3
Cam Akers,MIN,1,0.0,5,3,3.0,0.6,,3,3,10,3.3,,1.3,1.3
Jacques Patrick,NYJ,2,0.0,2,12,6.0,6.0,,,,,,,1.2,0.6
Buddy Howell,LA,10,0.6,5,11,1.1,2.2,,,,,,,1.1,0.1
Gary Brightwell,NYG,13,0.8,1,4,0.3,4.0,,1,1,6,6.0,,1.0,0.1
Damarea Crockett,NYJ,12,0.3,3,7,0.6,2.3,,,,,,,0.7,0.1
Jake Funk,DET,10,1.6,2,5,0.5,2.5,,,,,,,0.5,0.1
Devine Ozigbo,DET,2,0.0,1,-3,-1.5,-3.0,,1,1,7,7.0,,0.4,0.2
Nathan Cottrell,JAC,4,0.2,1,3,0.8,3.0,,,,,,,0.3,0.1
Mekhi Sargent,JAC,1,2.0,1,2,2.0,2.0,,1,,,,,0.2,0.2
Nate McCrary,CLE,1,0.0,1,-1,-1.0,-1.0,,,,,,,-0.1,-0.1
Darius Bradwell,CAR,2,3.5,,,0.0,,,1,,,,,,0.0
Tavien Feaster,ARI,,,,,,,,,,,,,,
Kenjon Barner,TB,3,0.0,4,,0.0,0.0,,,,,,,,0.0